flags	build_time	runtime
default	20.819955348968506	36.80079007148743
"-Coverflow-checks=yes"	21.644641399383545	41.75165796279907
"-Ctarget-cpu=x86-64"	21.48618197441101	36.90105390548706
"-Ctarget-cpu=x86-64-v2"	21.402437210083008	36.38666868209839
"-Ctarget-cpu=x86-64-v3"	21.09048104286194	34.59374952316284
"-Ctarget-cpu=x86-64-v4"	22.709450721740723	34.5865957736969
"-Ctarget-cpu=native"	21.82021450996399	34.27440690994263
"-Cllvm-args=--inline-threshold=5"	19.15984034538269	36.82805895805359
"-Cllvm-args=--inline-threshold=50"	19.945293188095093	36.80589962005615
"-Cllvm-args=--inline-threshold=250"	21.569868803024292	36.98133158683777
"-Cllvm-args=--inline-threshold=100000"	29.57155680656433	37.198814868927
"-Ccodegen-units=1"	33.40354371070862	36.80098628997803
"-Ccodegen-units=16"	21.417848825454712	36.884058237075806
"-Ccodegen-units=256"	22.533915042877197	36.96677899360657
"-Cdebuginfo=0"	22.492737770080566	39.69924330711365
"-Cdebuginfo=1"	23.347550630569458	39.08620810508728
"-Cdebuginfo=2"	25.353752374649048	39.13385581970215
"-Cdebug-assertions=yes"	22.7801673412323	46.4894585609436
"-Copt-level=1"	24.897681951522827	43.18027305603027
"-Copt-level=2"	29.37405562400818	40.40517711639404
"-Copt-level=3"	31.927326440811157	39.65421175956726
"-Cpanic=abort"	20.427330493927002	38.82701897621155
"-Cstrip=debuginfo"	22.65156316757202	40.08258390426636
"-Cstrip=symbols"	21.91841459274292	39.54804491996765
"-Ccode-model=small"	22.14321517944336	39.51742625236511
"-Ccode-model=medium"	21.869478940963745	40.02492165565491
"-Ccode-model=large"	22.457487106323242	40.05430054664612
default	22.12201690673828	39.50435471534729
"-Coverflow-checks=yes"	22.35203528404236	44.597633361816406
"-Ctarget-cpu=x86-64"	21.893460035324097	40.051780700683594
"-Ctarget-cpu=x86-64-v2"	22.27072310447693	39.25497245788574
"-Ctarget-cpu=x86-64-v3"	23.100908756256104	37.602195501327515
"-Ctarget-cpu=x86-64-v4"	21.74043083190918	37.663769245147705
"-Ctarget-cpu=native"	23.014535665512085	38.86802315711975
"-Cllvm-args=--inline-threshold=5"	21.1848783493042	41.7939612865448
"-Cllvm-args=--inline-threshold=50"	21.99002981185913	41.63996505737305
"-Cllvm-args=--inline-threshold=250"	22.324727058410645	37.222933530807495
"-Cllvm-args=--inline-threshold=100000"	28.962278842926025	36.123793601989746
"-Ccodegen-units=1"	33.779370069503784	35.808780908584595
"-Ccodegen-units=16"	22.60796070098877	36.065314292907715
"-Ccodegen-units=256"	21.70219373703003	35.93746566772461
"-Cdebuginfo=0"	21.299277544021606	36.25223231315613
"-Cdebuginfo=1"	23.535310983657837	35.88382291793823
"-Cdebuginfo=2"	25.75298833847046	35.921841859817505
"-Cdebug-assertions=yes"	22.068103075027466	43.66684603691101
"-Copt-level=1"	25.608936548233032	40.059892654418945
"-Copt-level=2"	29.351428508758545	37.78249502182007
"-Copt-level=3"	31.043688535690308	36.62466478347778
"-Cpanic=abort"	20.786553621292114	36.04184699058533
"-Cstrip=debuginfo"	20.865219116210938	36.56515336036682
"-Cstrip=symbols"	20.93561863899231	36.64888262748718
"-Ccode-model=small"	20.88971996307373	36.90452194213867
"-Ccode-model=medium"	21.256200313568115	37.51564335823059
"-Ccode-model=large"	21.56693124771118	37.1635046005249
default	20.974221229553223	36.75839185714722
"-Coverflow-checks=yes"	21.275320053100586	41.240005016326904
"-Ctarget-cpu=x86-64"	21.350745677947998	36.61224365234375
"-Ctarget-cpu=x86-64-v2"	21.188164949417114	35.990814208984375
"-Ctarget-cpu=x86-64-v3"	21.203997135162354	34.553295373916626
"-Ctarget-cpu=x86-64-v4"	21.05231475830078	34.53219723701477
"-Ctarget-cpu=native"	22.954836130142212	34.39686894416809
"-Cllvm-args=--inline-threshold=5"	19.919667720794678	37.319743633270264
